rank, build, set, map, avg_entry, file, check, merge, total
0, 672ms, 5118, 38120, 7.448222, 26892B, 411ms, 46ms, 1130ms
1, 674ms, 6230, 43427, 6.970626, 26891B, 408ms, 0ms, 1083ms
2, 675ms, 6556, 42441, 6.473612, 26887B, 404ms, 0ms, 1080ms
3, 679ms, 6466, 42239, 6.532478, 26897B, 408ms, 0ms, 1087ms
4, 701ms, 6346, 42983, 6.773243, 26891B, 407ms, 0ms, 1109ms
5, 701ms, 5878, 44131, 7.507826, 26893B, 407ms, 38ms, 1148ms
6, 702ms, 5498, 45235, 8.227537, 26892B, 407ms, 38ms, 1148ms
7, 702ms, 6074, 44662, 7.352980, 26892B, 407ms, 38ms, 1148ms
8, 711ms, 6144, 44086, 7.175456, 26893B, 404ms, 0ms, 1116ms
9, 726ms, 6112, 45102, 7.379254, 26883B, 398ms, 38ms, 1163ms
10, 725ms, 6280, 43535, 6.932325, 26900B, 400ms, 38ms, 1164ms
11, 714ms, 6456, 43585, 6.751084, 26889B, 403ms, 38ms, 1156ms
12, 738ms, 6560, 42207, 6.433994, 26892B, 406ms, 0ms, 1146ms
13, 764ms, 6312, 43719, 6.926331, 26896B, 407ms, 38ms, 1210ms
14, 739ms, 5212, 47241, 9.063891, 26886B, 406ms, 38ms, 1184ms
15, 736ms, 7388, 40093, 5.426773, 26895B, 409ms, 38ms, 1184ms
16, 567ms, 6814, 41569, 6.100528, 26890B, 410ms, 0ms, 977ms
17, 569ms, 6382, 42443, 6.650423, 26894B, 408ms, 11ms, 988ms
18, 569ms, 6058, 43876, 7.242654, 26886B, 408ms, 38ms, 1016ms
19, 569ms, 6420, 44164, 6.879128, 26900B, 408ms, 38ms, 1016ms
20, 747ms, 6126, 44817, 7.315867, 26890B, 405ms, 0ms, 1153ms
21, 747ms, 6194, 43785, 7.068938, 26891B, 405ms, 38ms, 1191ms
22, 747ms, 5714, 46005, 8.051278, 26892B, 405ms, 38ms, 1191ms
23, 747ms, 5838, 44914, 7.693388, 26887B, 406ms, 38ms, 1191ms
24, 331ms, 6566, 42594, 6.487055, 26897B, 405ms, 0ms, 736ms
25, 332ms, 6328, 43070, 6.806258, 26892B, 404ms, 38ms, 775ms
26, 483ms, 6440, 42608, 6.616149, 26891B, 405ms, 38ms, 927ms
27, 483ms, 5826, 44480, 7.634741, 26893B, 405ms, 38ms, 927ms
28, 848ms, 6560, 42775, 6.520579, 26891B, 408ms, 0ms, 1256ms
29, 848ms, 5778, 45715, 7.911907, 26889B, 407ms, 0ms, 1256ms
30, 848ms, 6158, 45637, 7.411010, 26895B, 408ms, 0ms, 1256ms
31, 848ms, 6858, 42139, 6.144503, 26924B, 408ms, 0ms, 1256ms
